roi,ann_id,base_size,area,solidity,eccentricity,cover_A_click,cover_B_component_asis,cover_C_component_fixed,move_A_click,move_B_component_asis,move_C_component_fixed
300.tiff,14570,27,372,0.89,0.6465,0.9919,1.0,1.0,0.0,2.693,3.041
300.tiff,14572,25,316,0.9294,0.8434,0.9937,1.0,1.0,0.0,2.062,2.693
300.tiff,14574,51,1455,0.7189,0.4389,1.0,0.989,1.0,0.0,3.041,2.5
300.tiff,14575,33,435,0.7713,0.6251,0.9241,1.0,1.0,0.0,6.946,6.801
300.tiff,14577,41,869,0.8144,0.7326,1.0,0.9954,1.0,0.0,1.581,2.0
300.tiff,14578,27,286,0.7429,0.8245,0.986,1.0,1.0,0.0,3.041,3.64
300.tiff,14579,29,411,0.9384,0.6968,0.9976,1.0,1.0,0.0,4.0,4.528
300.tiff,14580,51,1181,0.7335,0.7772,1.0,0.9975,1.0,0.0,3.041,3.5
300.tiff,14581,45,1126,0.8003,0.261,1.0,0.9956,1.0,0.0,0.707,0.0
300.tiff,14582,29,368,0.8326,0.7776,0.9918,1.0,1.0,0.0,4.61,4.031
300.tiff,14583,33,802,0.948,0.3777,0.9726,0.995,1.0,0.0,2.062,2.5
300.tiff,14585,47,1361,0.813,0.6586,0.9214,1.0,1.0,0.0,4.243,4.301
300.tiff,14586,41,685,0.7165,0.4209,0.9708,1.0,1.0,0.0,5.025,5.5
300.tiff,14589,49,1105,0.7357,0.5484,0.9946,1.0,1.0,0.0,2.828,2.915
300.tiff,14591,29,429,0.7321,0.6194,0.9674,1.0,1.0,0.0,2.55,3.162
300.tiff,14593,51,1091,0.6747,0.3701,1.0,0.9991,1.0,0.0,4.528,5.0
300.tiff,14594,45,1017,0.7728,0.6391,0.9921,1.0,1.0,0.0,1.5,1.118
300.tiff,14595,39,907,0.8954,0.4889,1.0,0.9978,1.0,0.0,3.041,2.5
300.tiff,14596,41,724,0.6735,0.89,0.7873,1.0,1.0,0.0,9.708,9.014
300.tiff,14598,33,626,0.7884,0.4095,0.9712,1.0,1.0,0.0,2.915,3.162
300.tiff,14599,37,482,0.6612,0.6934,0.9689,1.0,1.0,0.0,3.536,4.243
300.tiff,14600,37,877,0.9164,0.4396,0.9749,0.9966,1.0,0.0,3.354,4.031
300.tiff,14601,27,353,0.781,0.7815,0.9915,1.0,1.0,0.0,3.041,3.64
300.tiff,14602,37,603,0.7761,0.8964,0.7463,1.0,1.0,0.0,7.018,7.566
300.tiff,14603,37,612,0.6429,0.7408,0.7484,1.0,1.0,0.0,7.071,7.649
300.tiff,14604,51,1340,0.8141,0.8135,1.0,0.9821,1.0,0.0,0.707,1.0
300.tiff,14606,35,618,0.8374,0.3278,0.9903,1.0,1.0,0.0,2.693,3.354
300.tiff,14607,49,1629,0.9571,0.6753,0.9871,1.0,1.0,0.0,2.236,2.915
300.tiff,14608,47,1243,0.8226,0.78,0.9646,0.9984,1.0,0.0,4.717,4.031
300.tiff,14610,27,449,0.8821,0.4184,0.9866,1.0,1.0,0.0,3.808,3.162
300.tiff,14612,29,386,0.9212,0.7665,0.9119,1.0,1.0,0.0,6.403,7.106
300.tiff,14613,33,585,0.7842,0.6889,0.9812,0.9966,1.0,0.0,3.536,2.828
300.tiff,14615,31,514,0.851,0.6331,0.9883,0.9981,1.0,0.0,2.915,2.236
300.tiff,14617,51,1382,0.7047,0.6857,1.0,0.9826,1.0,0.0,5.025,4.5
300.tiff,14618,51,1202,0.6306,0.756,1.0,0.9983,1.0,0.0,0.707,1.0
300.tiff,14619,25,403,0.9159,0.6681,0.938,1.0,1.0,0.0,4.031,3.64
300.tiff,14620,27,422,0.7932,0.638,0.9882,0.9953,1.0,0.0,1.581,2.0
300.tiff,14621,51,1231,0.692,0.8049,1.0,0.9773,1.0,0.0,4.528,4.0
300.tiff,14622,43,1091,0.7608,0.5448,0.9111,0.9982,1.0,0.0,4.61,4.031
300.tiff,14623,29,351,0.8909,0.8178,0.9601,1.0,1.0,0.0,4.472,3.808
300.tiff,14624,35,452,0.7362,0.7291,0.9956,1.0,1.0,0.0,2.915,3.162
300.tiff,14625,41,700,0.6278,0.4403,0.88,1.0,1.0,0.0,7.81,7.106
300.tiff,14626,31,388,0.87,0.8052,0.9794,0.9948,1.0,0.0,2.693,2.062
300.tiff,14630,25,283,0.8984,0.8771,0.9682,0.9929,1.0,0.0,3.808,3.606
300.tiff,14631,47,842,0.7425,0.8203,0.9466,1.0,1.0,0.0,2.5,2.693
300.tiff,14632,33,402,0.7898,0.7847,0.9677,0.995,1.0,0.0,3.536,4.0
300.tiff,14633,49,1136,0.731,0.8212,0.9727,1.0,1.0,0.0,2.5,2.5
300.tiff,14634,29,393,0.7429,0.7388,0.9796,1.0,1.0,0.0,0.707,1.414
300.tiff,14635,29,537,0.8935,0.3797,0.9981,1.0,1.0,0.0,1.581,1.414
300.tiff,14637,29,497,0.9342,0.6977,0.7948,1.0,1.0,0.0,7.433,8.078
300.tiff,14638,31,360,0.72,0.883,0.9556,0.9861,1.0,0.0,1.581,2.0
300.tiff,14641,29,445,0.8135,0.7565,0.9865,1.0,1.0,0.0,1.118,1.803
300.tiff,14642,51,1243,0.6778,0.7878,1.0,0.9823,1.0,0.0,2.55,2.0
300.tiff,14644,39,545,0.7842,0.5948,0.9963,1.0,1.0,0.0,3.606,3.808
300.tiff,14645,27,271,0.6826,0.8895,0.9114,1.0,1.0,0.0,4.301,4.243
300.tiff,14646,51,961,0.6407,0.9177,1.0,0.9729,1.0,0.0,1.118,1.5
300.tiff,14649,47,737,0.5826,0.8888,0.9729,0.9959,1.0,0.0,3.202,2.5
300.tiff,14650,33,584,0.9344,0.5827,0.9966,1.0,1.0,0.0,2.236,1.581
300.tiff,14693,23,227,0.8902,0.8763,0.978,1.0,1.0,0.0,4.243,4.301
301.tiff,14726,25,390,0.8497,0.5407,0.9846,1.0,1.0,0.0,2.062,2.693
301.tiff,14727,43,999,0.7455,0.5827,0.7988,1.0,1.0,0.0,8.5,8.322
301.tiff,14735,43,529,0.7546,0.9281,0.9376,1.0,1.0,0.0,5.59,5.408
301.tiff,14736,23,264,0.8742,0.7542,0.947,1.0,1.0,0.0,3.0,2.55
301.tiff,14737,25,363,0.8985,0.6829,0.8485,1.0,1.0,0.0,5.59,5.025
301.tiff,14741,51,1524,0.8229,0.8463,1.0,0.9705,1.0,0.0,0.707,0.0
301.tiff,14742,23,279,0.8774,0.5121,0.7921,1.0,1.0,0.0,6.325,6.042
301.tiff,14743,23,305,0.9327,0.6357,0.9934,1.0,1.0,0.0,3.162,2.55
301.tiff,14744,43,1193,0.935,0.7192,0.8324,0.9774,1.0,0.0,9.192,8.944
301.tiff,14748,25,368,0.7948,0.5893,0.7554,1.0,1.0,0.0,6.576,7.159
301.tiff,14750,45,1340,0.8508,0.678,0.9134,1.0,1.0,0.0,6.103,5.408
301.tiff,14751,29,318,0.9217,0.8775,0.9403,1.0,1.0,0.0,3.041,3.5
301.tiff,14752,23,353,0.9339,0.1539,0.9433,1.0,1.0,0.0,2.5,3.041
301.tiff,14754,25,340,0.9115,0.6696,0.95,1.0,1.0,0.0,5.408,5.59
301.tiff,14755,49,1121,0.6945,0.7231,0.9581,1.0,1.0,0.0,3.162,2.915
301.tiff,14757,21,281,0.9153,0.5253,0.8149,1.0,1.0,0.0,6.042,5.831
301.tiff,14761,21,326,0.9341,0.3953,0.8497,0.9755,1.0,0.0,3.808,4.472
301.tiff,14762,25,379,0.9428,0.5586,0.9129,1.0,1.0,0.0,3.905,4.61
301.tiff,14764,25,417,0.8563,0.4814,0.741,0.9976,1.0,0.0,7.778,7.81
301.tiff,14765,35,514,0.7482,0.8024,0.9922,1.0,1.0,0.0,1.0,1.581
301.tiff,14766,29,409,0.8629,0.4975,0.9364,1.0,1.0,0.0,5.099,5.701
301.tiff,14770,37,718,0.8735,0.6208,0.9903,0.9847,1.0,0.0,4.717,4.031
301.tiff,14771,49,837,0.6963,0.875,0.9821,1.0,1.0,0.0,4.123,3.808
301.tiff,14772,25,404,0.9484,0.432,1.0,1.0,1.0,0.0,0.5,0.5
301.tiff,14773,23,350,0.9511,0.2894,0.9314,1.0,1.0,0.0,4.243,4.301
301.tiff,14776,23,234,0.8041,0.828,1.0,1.0,1.0,0.0,1.0,0.707
301.tiff,14777,25,241,0.8169,0.8736,0.8797,1.0,1.0,0.0,5.315,6.021
301.tiff,14778,31,475,0.7197,0.6437,0.9011,1.0,1.0,0.0,6.265,6.5
301.tiff,14781,25,346,0.8827,0.8164,0.9538,1.0,1.0,0.0,3.0,2.55
301.tiff,14782,23,142,0.732,0.9369,0.9225,0.9859,1.0,0.0,4.301,3.606
301.tiff,14784,21,293,0.9156,0.6937,0.8771,0.9932,1.0,0.0,3.808,4.123
301.tiff,14785,25,391,0.9332,0.4865,0.9309,1.0,1.0,0.0,4.61,4.272
301.tiff,14786,35,518,0.7358,0.9089,0.7915,0.9923,1.0,0.0,8.732,8.382
301.tiff,14787,39,923,0.8499,0.6096,0.7703,0.9902,1.0,0.0,9.708,9.605
301.tiff,14790,21,247,0.9048,0.6482,0.996,0.9838,1.0,0.0,2.062,2.5
301.tiff,14796,29,372,0.8611,0.8411,1.0,1.0,1.0,0.0,2.0,2.55
301.tiff,14797,39,401,0.7741,0.9097,0.9327,0.9975,1.0,0.0,6.576,6.021
301.tiff,14798,33,624,0.8667,0.6259,0.9615,1.0,1.0,0.0,5.59,5.408
301.tiff,14803,47,1305,0.7605,0.719,0.9249,0.977,1.0,0.0,2.5,3.202
301.tiff,14805,37,658,0.7899,0.6724,0.9757,0.9985,1.0,0.0,4.301,4.472
301.tiff,14807,21,322,0.9499,0.4021,0.972,1.0,1.0,0.0,1.581,1.414
301.tiff,14808,35,391,0.7592,0.885,0.8645,1.0,1.0,0.0,9.657,9.014
301.tiff,14810,23,326,0.8907,0.6238,1.0,1.0,1.0,0.0,1.0,0.707
301.tiff,14812,29,382,0.7625,0.7051,0.9948,0.9974,1.0,0.0,2.915,2.828
301.tiff,14813,25,338,0.8942,0.776,0.9349,1.0,1.0,0.0,4.123,3.536
301.tiff,14814,25,346,0.9153,0.7908,0.9855,1.0,1.0,0.0,2.55,2.236
301.tiff,14815,27,446,0.955,0.6095,1.0,1.0,1.0,0.0,0.0,0.707
301.tiff,14816,51,1878,0.947,0.4374,1.0,0.9936,1.0,0.0,1.581,2.0
301.tiff,14817,27,407,0.8623,0.4993,0.9803,1.0,1.0,0.0,3.041,2.693
301.tiff,14824,33,601,0.8984,0.3847,0.9418,1.0,1.0,0.0,6.0,6.519
301.tiff,14825,29,457,0.9104,0.734,0.9212,0.9891,1.0,0.0,3.536,4.0
301.tiff,14826,25,374,0.9327,0.3043,0.9278,1.0,1.0,0.0,4.123,4.743
301.tiff,14827,27,322,0.722,0.3771,0.9752,1.0,1.0,0.0,3.202,3.202
301.tiff,14829,23,250,0.8013,0.7167,0.728,1.0,1.0,0.0,6.325,6.964
301.tiff,14831,23,369,0.9462,0.4543,0.813,1.0,1.0,0.0,5.148,5.831
301.tiff,14833,25,324,0.8686,0.8253,0.9383,0.9877,1.0,0.0,3.536,3.606
301.tiff,14834,23,417,0.9267,0.1823,0.8825,1.0,1.0,0.0,3.64,3.354
301.tiff,14837,25,355,0.9441,0.6704,1.0,1.0,1.0,0.0,1.414,1.581
301.tiff,14841,29,311,0.7387,0.8334,0.7621,1.0,1.0,0.0,9.552,9.552
301.tiff,14842,25,320,0.904,0.7752,0.9344,1.0,1.0,0.0,4.61,4.61
301.tiff,14843,45,1019,0.8318,0.7442,0.9755,1.0,1.0,0.0,3.606,3.808
301.tiff,14847,51,2087,0.9613,0.5231,1.0,0.9832,1.0,0.0,2.55,3.0
301.tiff,14849,29,375,0.8993,0.7406,0.9573,1.0,1.0,0.0,2.0,2.55
301.tiff,14850,25,299,0.9033,0.7814,1.0,0.9933,1.0,0.0,2.062,1.5
301.tiff,14852,27,345,0.869,0.7201,0.9826,1.0,1.0,0.0,4.031,4.717
301.tiff,14856,23,306,0.9107,0.3661,0.9248,1.0,1.0,0.0,4.924,4.272
301.tiff,14858,25,375,0.8741,0.3828,0.9813,1.0,1.0,0.0,2.121,1.414
301.tiff,14859,21,217,0.875,0.7187,0.9263,0.9816,1.0,0.0,4.5,4.031
301.tiff,14866,29,353,0.9075,0.8293,0.9688,1.0,1.0,0.0,5.831,6.519
301.tiff,14867,25,373,0.9233,0.5435,0.9303,1.0,1.0,0.0,5.315,4.61
301.tiff,14874,29,477,0.8017,0.424,0.9602,1.0,1.0,0.0,2.828,3.536
301.tiff,14876,23,278,0.9055,0.8555,0.9496,0.9856,1.0,0.0,2.121,2.828
301.tiff,14878,31,615,0.8736,0.555,1.0,1.0,1.0,0.0,1.414,0.707
301.tiff,14881,29,468,0.8715,0.6098,0.891,1.0,1.0,0.0,5.385,6.042
301.tiff,14884,51,953,0.6926,0.803,1.0,0.9843,1.0,0.0,9.014,8.5
301.tiff,14888,27,450,0.9184,0.437,0.9956,1.0,1.0,0.0,2.121,1.414
301.tiff,14889,29,421,0.8845,0.5897,0.962,1.0,1.0,0.0,3.606,3.536
301.tiff,14890,25,386,0.9531,0.3978,0.9326,1.0,1.0,0.0,4.924,4.717
301.tiff,14891,23,351,0.9093,0.3195,0.9915,1.0,1.0,0.0,1.118,1.118
301.tiff,14897,29,477,0.9068,0.7118,1.0,0.9916,1.0,0.0,3.536,3.0
301.tiff,14898,25,321,0.8819,0.747,0.9938,1.0,1.0,0.0,1.803,1.118
301.tiff,14901,29,396,0.8182,0.7723,1.0,1.0,1.0,0.0,0.0,0.707
301.tiff,14903,25,426,0.9404,0.4056,0.9155,1.0,1.0,0.0,4.301,4.243
301.tiff,14905,25,381,0.9115,0.5628,0.9948,1.0,1.0,0.0,2.55,2.236
301.tiff,14906,25,285,0.8851,0.8283,0.9509,0.9965,1.0,0.0,3.202,3.202
301.tiff,14907,23,345,0.961,0.5955,0.8754,0.9826,1.0,0.0,3.64,4.031
301.tiff,14910,23,309,0.8983,0.7647,0.9644,1.0,1.0,0.0,2.062,2.693
301.tiff,14911,23,295,0.9306,0.7784,0.9186,0.9695,1.0,0.0,4.272,4.924
301.tiff,14912,25,350,0.9235,0.6268,1.0,1.0,1.0,0.0,1.0,0.707
301.tiff,14914,39,732,0.7052,0.7536,0.8033,1.0,1.0,0.0,11.011,10.308
301.tiff,14915,27,395,0.872,0.7805,0.9266,0.9899,1.0,0.0,5.22,4.924
301.tiff,14916,25,331,0.8173,0.7304,0.9879,1.0,1.0,0.0,0.707,1.0
301.tiff,14917,27,355,0.9079,0.4879,0.9944,1.0,1.0,0.0,2.062,1.5
301.tiff,14921,31,613,0.9474,0.2325,0.9902,0.9984,1.0,0.0,2.5,2.062
301.tiff,14923,23,419,0.9566,0.4444,0.9952,0.9785,1.0,0.0,0.707,1.0
301.tiff,14932,51,1551,0.734,0.6843,1.0,0.9452,1.0,0.0,0.707,0.0
301.tiff,14933,27,416,0.9244,0.4943,0.9952,1.0,1.0,0.0,1.581,1.414
301.tiff,14934,23,335,0.8375,0.7272,0.9552,0.9761,1.0,0.0,2.693,2.062
301.tiff,14935,21,187,0.9257,0.8407,0.9893,1.0,1.0,0.0,2.121,1.414
301.tiff,14937,23,334,0.9543,0.3305,0.7515,1.0,1.0,0.0,8.078,7.826
301.tiff,14938,25,438,0.944,0.3941,0.9954,1.0,1.0,0.0,2.121,1.414
301.tiff,14942,39,629,0.8054,0.8656,0.8394,0.9936,1.0,0.0,9.925,9.22
301.tiff,14945,25,356,0.9152,0.7451,0.9888,0.9944,1.0,0.0,1.581,2.0
301.tiff,14947,29,441,0.9168,0.6352,0.9252,1.0,1.0,0.0,4.123,4.528
301.tiff,14952,37,596,0.7224,0.9119,0.7047,1.0,1.0,0.0,10.966,10.966
301.tiff,14955,31,628,0.8946,0.5242,0.9793,0.9904,1.0,0.0,2.55,2.0
301.tiff,14956,25,415,0.9475,0.418,0.9518,0.9928,1.0,0.0,2.693,2.5
301.tiff,14957,33,426,0.7817,0.8386,0.8967,1.0,1.0,0.0,6.727,6.801
301.tiff,14960,23,268,0.9338,0.801,0.9851,1.0,1.0,0.0,0.707,1.414
301.tiff,14961,25,363,0.8985,0.3787,0.9835,1.0,1.0,0.0,2.915,2.236
301.tiff,14962,41,490,0.8126,0.8471,1.0,0.9939,1.0,0.0,2.062,1.5
301.tiff,14964,41,609,0.6072,0.8091,0.8374,1.0,1.0,0.0,8.485,8.515
301.tiff,14968,33,374,0.6978,0.7864,0.9305,1.0,1.0,0.0,5.025,4.61
301.tiff,14969,41,647,0.6013,0.6641,0.9706,0.9985,1.0,0.0,6.021,5.5
301.tiff,14975,41,955,0.7022,0.8217,0.7654,1.0,1.0,0.0,8.201,8.139
301.tiff,14976,35,434,0.7806,0.6652,0.9585,1.0,1.0,0.0,4.61,3.905
301.tiff,14977,25,416,0.9369,0.354,0.9712,0.9952,1.0,0.0,1.803,2.062
301.tiff,14978,51,1429,0.7127,0.454,1.0,0.9937,1.0,0.0,0.707,0.0
301.tiff,14979,23,304,0.9212,0.6329,0.898,0.9901,1.0,0.0,5.59,4.924
301.tiff,14981,39,847,0.7976,0.692,0.8406,0.9953,1.0,0.0,6.964,6.708
301.tiff,14982,27,395,0.9018,0.4661,1.0,1.0,1.0,0.0,0.0,0.707
301.tiff,14988,27,430,0.9053,0.3837,0.9302,1.0,1.0,0.0,5.099,4.528
301.tiff,14989,27,443,0.9326,0.3983,0.8646,1.0,1.0,0.0,4.5,5.025
301.tiff,14995,25,276,0.8652,0.7718,0.9094,1.0,1.0,0.0,5.0,5.701
301.tiff,14997,27,431,0.9036,0.6096,0.9652,1.0,1.0,0.0,4.272,3.64
301.tiff,14998,25,356,0.879,0.5829,0.9438,1.0,1.0,0.0,3.536,3.606
301.tiff,14999,23,335,0.8957,0.678,0.9881,0.9881,1.0,0.0,1.118,1.5
301.tiff,15000,23,410,0.9404,0.4834,0.9927,0.9732,1.0,0.0,0.707,1.0
301.tiff,15001,45,651,0.7008,0.9028,0.9877,1.0,1.0,0.0,5.22,4.61
301.tiff,15003,25,391,0.8968,0.3642,0.9744,1.0,1.0,0.0,3.5,3.041
301.tiff,15008,23,366,0.9361,0.5247,0.9126,1.0,1.0,0.0,3.0,3.536
301.tiff,15010,37,839,0.9022,0.7226,0.9797,0.9917,1.0,0.0,2.5,2.5
301.tiff,15011,29,342,0.9096,0.8155,1.0,1.0,1.0,0.0,1.0,0.707
301.tiff,15012,27,321,0.7643,0.7066,0.947,1.0,1.0,0.0,3.041,3.64
301.tiff,15013,37,620,0.8212,0.5652,0.9984,1.0,1.0,0.0,2.121,2.236
301.tiff,15018,29,424,0.9021,0.7999,0.9976,1.0,1.0,0.0,2.236,2.915
402.tiff,20149,41,877,0.7308,0.8566,0.7868,1.0,1.0,0.0,7.106,7.071
402.tiff,20150,35,614,0.9374,0.7765,1.0,1.0,1.0,0.0,2.5,2.062
402.tiff,20156,47,880,0.6587,0.5458,0.9818,1.0,1.0,0.0,4.61,3.905
402.tiff,20157,29,495,0.8824,0.6777,0.9798,1.0,1.0,0.0,3.162,2.915
402.tiff,20158,41,735,0.8834,0.7861,0.9986,1.0,1.0,0.0,1.414,2.121
402.tiff,20159,27,489,0.9626,0.4766,0.9755,1.0,1.0,0.0,3.354,2.693
402.tiff,20160,35,553,0.9485,0.802,1.0,1.0,1.0,0.0,0.5,0.5
402.tiff,20161,35,562,0.786,0.6048,0.9573,0.9911,1.0,0.0,4.031,4.272
402.tiff,20162,31,536,0.8874,0.5886,0.9851,1.0,1.0,0.0,1.581,1.414
402.tiff,20163,33,550,0.8112,0.7696,0.9764,0.9836,1.0,0.0,4.301,3.606
402.tiff,20164,51,1268,0.5809,0.748,1.0,0.9677,1.0,0.0,0.707,0.0
402.tiff,20165,29,498,0.9432,0.623,1.0,1.0,1.0,0.0,1.5,1.118
402.tiff,20167,23,382,0.9227,0.618,0.9005,0.9843,1.0,0.0,3.5,4.031
402.tiff,20169,31,600,0.8721,0.4945,0.9817,0.9933,1.0,0.0,2.915,2.236
402.tiff,20170,27,458,0.8609,0.7397,0.9192,0.9934,1.0,0.0,4.301,3.606
402.tiff,20171,25,399,0.9068,0.684,0.9474,1.0,1.0,0.0,2.062,2.693
402.tiff,20174,27,360,0.8867,0.665,0.9833,1.0,1.0,0.0,1.803,2.5
402.tiff,20176,29,395,0.9101,0.7374,1.0,1.0,1.0,0.0,0.5,1.118
402.tiff,20178,31,522,0.9439,0.7017,0.9943,1.0,1.0,0.0,1.803,2.5
402.tiff,20180,33,678,0.8909,0.5286,1.0,0.9956,1.0,0.0,0.5,0.5
402.tiff,20183,31,487,0.8681,0.7988,0.963,1.0,1.0,0.0,5.148,5.831
402.tiff,20191,37,903,0.8315,0.6558,0.8007,1.0,1.0,0.0,7.566,7.159
402.tiff,20192,29,619,0.9393,0.2711,1.0,1.0,1.0,0.0,1.118,0.5
402.tiff,20194,29,636,0.9564,0.3526,0.923,0.9953,1.0,0.0,2.915,3.606
402.tiff,20200,29,543,0.9035,0.5653,0.9208,0.9982,1.0,0.0,3.354,4.031
402.tiff,20202,33,614,0.8911,0.5012,1.0,1.0,1.0,0.0,1.414,0.707
402.tiff,20206,31,626,0.9414,0.4655,0.9409,1.0,1.0,0.0,3.354,4.031
402.tiff,20207,43,858,0.7668,0.6954,0.9883,1.0,1.0,0.0,4.243,3.536
402.tiff,20209,37,528,0.6684,0.8713,0.7746,1.0,1.0,0.0,11.8,11.715
402.tiff,20210,29,439,0.9502,0.6202,0.9932,1.0,1.0,0.0,1.414,2.121
402.tiff,20218,41,839,0.7545,0.8239,0.7986,1.0,1.0,0.0,7.81,8.515
402.tiff,20219,27,451,0.9185,0.5052,1.0,0.9845,1.0,0.0,1.581,1.0
402.tiff,20220,31,610,0.9299,0.5491,0.9902,1.0,1.0,0.0,1.803,1.803
402.tiff,20221,41,733,0.9422,0.7821,0.9986,1.0,1.0,0.0,1.803,1.803
402.tiff,20222,33,502,0.9366,0.7705,0.9143,1.0,1.0,0.0,5.0,5.523
402.tiff,20225,37,729,0.9298,0.7654,0.9383,1.0,1.0,0.0,5.408,6.103
402.tiff,20227,33,624,0.919,0.7092,0.9984,1.0,1.0,0.0,2.236,1.581
402.tiff,20228,29,450,0.9454,0.837,0.8978,1.0,1.0,0.0,5.59,5.408
402.tiff,20229,31,427,0.7893,0.7658,0.993,1.0,1.0,0.0,0.707,1.0
402.tiff,20233,33,605,0.938,0.6301,0.9719,1.0,1.0,0.0,5.0,5.523
402.tiff,20234,33,727,0.9191,0.7101,0.9505,0.9945,1.0,0.0,5.523,5.0
402.tiff,20235,29,561,0.9257,0.3942,0.9447,0.9911,1.0,0.0,4.272,4.924
402.tiff,20239,33,615,0.9361,0.6902,0.987,1.0,1.0,0.0,2.062,2.5
402.tiff,20242,35,508,0.8369,0.7739,0.9724,1.0,1.0,0.0,5.831,6.042
402.tiff,20243,33,403,0.9527,0.8931,1.0,0.9926,1.0,0.0,3.041,3.5
402.tiff,20245,51,1301,0.6331,0.7571,1.0,0.9531,1.0,0.0,0.707,0.0
402.tiff,20246,31,522,0.8788,0.5407,1.0,0.9923,1.0,0.0,1.581,1.0
402.tiff,20249,41,783,0.701,0.6986,0.9413,1.0,1.0,0.0,9.014,8.322
402.tiff,20250,27,458,0.9385,0.5823,0.9782,1.0,1.0,0.0,2.0,2.55
402.tiff,20254,29,565,0.937,0.4616,0.9912,1.0,1.0,0.0,1.803,1.803
402.tiff,20255,31,483,0.9183,0.6777,0.9689,1.0,1.0,0.0,4.301,4.243
402.tiff,20257,43,992,0.705,0.6492,0.8246,1.0,1.0,0.0,7.211,7.106
402.tiff,20258,51,1215,0.8254,0.607,1.0,0.9967,1.0,0.0,6.519,7.0
402.tiff,20261,29,374,0.9189,0.8283,1.0,1.0,1.0,0.0,1.414,1.581
402.tiff,20262,33,700,0.9421,0.4874,0.9943,1.0,1.0,0.0,1.581,2.236
402.tiff,20263,47,1171,0.7644,0.5048,0.9009,0.9812,1.0,0.0,2.915,3.606
402.tiff,20264,27,337,0.9158,0.8506,0.9911,1.0,1.0,0.0,1.414,1.581
402.tiff,20266,33,467,0.8648,0.8305,0.9679,1.0,1.0,0.0,4.243,4.95
402.tiff,20269,41,850,0.7834,0.7317,0.8988,1.0,1.0,0.0,7.81,7.778
402.tiff,20270,31,624,0.8764,0.6048,0.9952,1.0,1.0,0.0,1.5,1.118
403.tiff,20332,49,1123,0.8553,0.7818,1.0,1.0,1.0,0.0,3.162,3.536
403.tiff,20333,49,1171,0.6684,0.7461,0.9769,1.0,1.0,0.0,3.808,4.123
403.tiff,20335,39,709,0.7575,0.7544,1.0,1.0,1.0,0.0,1.0,0.707
403.tiff,20336,49,842,0.7142,0.8449,0.9917,1.0,1.0,0.0,1.118,1.5
403.tiff,20337,49,571,0.7997,0.9452,0.9912,1.0,1.0,0.0,2.0,1.581
403.tiff,20338,45,645,0.8113,0.917,0.9829,1.0,1.0,0.0,4.95,4.243
403.tiff,20343,49,994,0.757,0.7374,0.9678,1.0,1.0,0.0,5.852,6.185
403.tiff,20344,43,868,0.7716,0.75,0.9147,0.9954,1.0,0.0,5.148,5.0
403.tiff,20345,39,647,0.7929,0.7975,0.9722,1.0,1.0,0.0,7.159,6.801
403.tiff,20348,51,1797,0.9173,0.5939,1.0,0.9805,1.0,0.0,3.536,4.0
403.tiff,20352,49,659,0.7371,0.9415,0.9666,1.0,1.0,0.0,9.552,10.112
403.tiff,20353,45,633,0.8451,0.9195,1.0,1.0,1.0,0.0,1.803,1.118
403.tiff,20354,49,1184,0.8524,0.8228,0.9983,1.0,1.0,0.0,2.5,1.803
403.tiff,20356,51,1415,0.8328,0.674,1.0,0.9731,1.0,0.0,1.581,2.0
403.tiff,20361,45,1093,0.8695,0.7844,0.9625,1.0,1.0,0.0,3.041,3.64
403.tiff,20365,45,807,0.9067,0.8969,0.9839,1.0,1.0,0.0,3.354,2.693
403.tiff,20367,51,1330,0.7874,0.7126,1.0,0.9782,1.0,0.0,0.5,0.5
403.tiff,20370,39,622,0.7893,0.8465,0.9936,1.0,1.0,0.0,0.5,1.118
403.tiff,20371,47,1072,0.719,0.7063,0.9972,1.0,1.0,0.0,4.123,3.536
403.tiff,20372,37,831,0.8747,0.5733,1.0,1.0,1.0,0.0,1.414,0.707
403.tiff,20373,45,1088,0.8746,0.4884,1.0,1.0,1.0,0.0,1.118,0.5
403.tiff,20375,35,686,0.8469,0.8411,0.9913,0.9942,1.0,0.0,2.55,2.0
403.tiff,20376,47,728,0.8585,0.9358,0.978,1.0,1.0,0.0,3.162,2.55
403.tiff,20377,41,832,0.8966,0.8689,0.9868,1.0,1.0,0.0,1.414,2.121
403.tiff,20378,49,1291,0.9535,0.6404,0.9969,1.0,1.0,0.0,3.041,3.64
403.tiff,20379,43,1083,0.887,0.5721,0.9474,1.0,1.0,0.0,6.021,6.727
403.tiff,20380,47,657,0.8141,0.937,0.9665,1.0,1.0,0.0,2.5,2.693
403.tiff,20381,43,933,0.8092,0.7319,0.9904,1.0,1.0,0.0,3.905,3.905
403.tiff,20382,51,1332,0.8398,0.4799,1.0,1.0,1.0,0.0,4.5,5.025
403.tiff,20383,51,1886,0.8981,0.4303,1.0,0.9745,1.0,0.0,0.707,0.0
403.tiff,20388,33,523,0.8236,0.6216,0.9637,0.9943,1.0,0.0,4.301,4.472
403.tiff,20396,41,914,0.8264,0.4626,0.9978,0.9978,1.0,0.0,1.118,1.5
459.tiff,22304,41,1044,0.7873,0.6369,0.933,1.0,1.0,0.0,6.021,6.103
459.tiff,22305,45,1157,0.7936,0.4627,0.9939,0.9905,1.0,0.0,2.5,2.062
459.tiff,22306,39,504,0.7109,0.8465,1.0,1.0,1.0,0.0,1.414,0.707
