figure,item,plotted,recomputed,match,note
fig1 cell24,459.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/od_contrast/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/od_contrast/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/od_contrast/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/od_contrast/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/od_contrast/K=50,-0.06,-0.06,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/od_contrast/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/tm_score/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/tm_score/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/tm_score/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/tm_score/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/tm_score/K=50,-0.04,-0.04,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/chromatin_od/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/chromatin_od/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/chromatin_od/K=50,-0.08,-0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/od_contrast/K=10,-0.20,-0.20,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/od_contrast/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/od_contrast/K=30,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,460.tiff/od_contrast/K=50,-0.06,-0.06,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,460.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/tm_score/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/tm_score/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/tm_score/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/tm_score/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/tm_score/K=30,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/tm_score/K=30 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/tm_score/K=50,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/tm_score/K=50 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/chromatin_od/K=20,+0.05,+0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/chromatin_od/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/chromatin_od/K=50,+0.02,+0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/od_contrast/K=20,+0.05,+0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/od_contrast/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,013.tiff/od_contrast/K=50,+0.02,+0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,013.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/tm_score/K=10,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/tm_score/K=10 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/tm_score/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/tm_score/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/tm_score/K=50,-0.02,-0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/chromatin_od/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/chromatin_od/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/chromatin_od/K=50,-0.06,-0.06,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/od_contrast/K=10,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=10 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/od_contrast/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/od_contrast/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,094.tiff/od_contrast/K=50,-0.06,-0.06,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,094.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/tm_score/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/tm_score/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/tm_score/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/tm_score/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/tm_score/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/tm_score/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/tm_score/K=50,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/tm_score/K=50 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/chromatin_od/K=20,+0.05,+0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/chromatin_od/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/chromatin_od/K=50,+0.02,+0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/od_contrast/K=20,+0.05,+0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/od_contrast/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,529.tiff/od_contrast/K=50,+0.02,+0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,529.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/tm_score/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/tm_score/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/tm_score/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/tm_score/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/tm_score/K=50,+0.04,+0.04,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/tm_score/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/chromatin_od/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/chromatin_od/K=30,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=30 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/chromatin_od/K=50,-0.02,-0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/od_contrast/K=10,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=10 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/od_contrast/K=20,+0.05,+0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/od_contrast/K=30,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=30 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,548.tiff/od_contrast/K=50,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=50 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,548.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/tm_score/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/tm_score/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/tm_score/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/tm_score/K=30,-0.17,-0.17,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/tm_score/K=50,-0.08,-0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/chromatin_od/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/chromatin_od/K=30,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=30 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/chromatin_od/K=50,+0.04,+0.04,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/od_contrast/K=20,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/od_contrast/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,402.tiff/od_contrast/K=50,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=50 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,402.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/tm_score/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/tm_score/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/tm_score/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/tm_score/K=30,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/tm_score/K=30 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/tm_score/K=50,-0.02,-0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/chromatin_od/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/chromatin_od/K=20,-0.15,-0.15,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
