file_name,z,check,n_genuine,n_shortcut,passed
529.tiff,15.0,rerun_equals_prefix,0,0,True
529.tiff,15.0,max_peaks_not_binding,0,2000000,True
529.tiff,15.0,scores_descending,0,0,True
529.tiff,18.0,rerun_equals_prefix,0,0,True
529.tiff,18.0,max_peaks_not_binding,0,2000000,True
529.tiff,18.0,scores_descending,0,0,True
529.tiff,22.0,rerun_equals_prefix,0,0,True
529.tiff,22.0,max_peaks_not_binding,0,2000000,True
529.tiff,22.0,scores_descending,0,0,True
529.tiff,26.0,rerun_equals_prefix,0,0,True
529.tiff,26.0,max_peaks_not_binding,0,2000000,True
529.tiff,26.0,scores_descending,0,0,True
548.tiff,-1.5,max_peaks_not_binding,40520,2000000,True
548.tiff,-1.5,scores_descending,17413,17413,True
548.tiff,1.0,rerun_equals_prefix,14484,14484,True
548.tiff,1.0,max_peaks_not_binding,27375,2000000,True
548.tiff,1.0,scores_descending,14484,14484,True
548.tiff,2.0,rerun_equals_prefix,11103,11103,True
548.tiff,2.0,max_peaks_not_binding,16890,2000000,True
548.tiff,2.0,scores_descending,11103,11103,True
548.tiff,3.0,rerun_equals_prefix,6639,6639,True
548.tiff,3.0,max_peaks_not_binding,8185,2000000,True
548.tiff,3.0,scores_descending,6639,6639,True
548.tiff,4.0,rerun_equals_prefix,2865,2865,True
548.tiff,4.0,max_peaks_not_binding,3154,2000000,True
548.tiff,4.0,scores_descending,2865,2865,True
548.tiff,5.0,rerun_equals_prefix,1169,1169,True
548.tiff,5.0,max_peaks_not_binding,1247,2000000,True
548.tiff,5.0,scores_descending,1169,1169,True
548.tiff,6.0,rerun_equals_prefix,626,626,True
548.tiff,6.0,max_peaks_not_binding,655,2000000,True
548.tiff,6.0,scores_descending,626,626,True
548.tiff,8.0,rerun_equals_prefix,269,269,True
548.tiff,8.0,max_peaks_not_binding,278,2000000,True
548.tiff,8.0,scores_descending,269,269,True
548.tiff,10.0,rerun_equals_prefix,100,100,True
548.tiff,10.0,max_peaks_not_binding,102,2000000,True
548.tiff,10.0,scores_descending,100,100,True
548.tiff,12.0,rerun_equals_prefix,37,37,True
548.tiff,12.0,max_peaks_not_binding,38,2000000,True
548.tiff,12.0,scores_descending,37,37,True
548.tiff,15.0,rerun_equals_prefix,0,0,True
548.tiff,15.0,max_peaks_not_binding,1,2000000,True
548.tiff,15.0,scores_descending,0,0,True
548.tiff,18.0,rerun_equals_prefix,0,0,True
548.tiff,18.0,max_peaks_not_binding,0,2000000,True
548.tiff,18.0,scores_descending,0,0,True
548.tiff,22.0,rerun_equals_prefix,0,0,True
548.tiff,22.0,max_peaks_not_binding,0,2000000,True
548.tiff,22.0,scores_descending,0,0,True
548.tiff,26.0,rerun_equals_prefix,0,0,True
548.tiff,26.0,max_peaks_not_binding,0,2000000,True
548.tiff,26.0,scores_descending,0,0,True
ALL,,gate1_seed_ann_id,14,14,True
ALL,,gate1_base_size,14,14,True
ALL,,gate1_map_median,14,14,True
ALL,,gate1_mad_scale,14,14,True
ALL,,gate1_n_pool,14,14,True
ALL,,gate1_n_at_current_z,14,14,True
460.tiff,5.0,no_upward_suppression,548,0,True
ALL,,seed_annulus_empty_in_topk,0,0,True
013.tiff,1.0,topk_invariant_to_nms_radius,5,5,True
094.tiff,1.0,topk_invariant_to_nms_radius,10,10,True
201.tiff,1.0,topk_invariant_to_nms_radius,5,5,True
233.tiff,1.0,topk_invariant_to_nms_radius,7,7,True
245.tiff,1.0,topk_invariant_to_nms_radius,1,1,True
246.tiff,1.0,topk_invariant_to_nms_radius,18,18,True
300.tiff,1.0,topk_invariant_to_nms_radius,14,14,True
301.tiff,1.0,topk_invariant_to_nms_radius,16,16,True
402.tiff,1.0,topk_invariant_to_nms_radius,9,9,True
403.tiff,1.0,topk_invariant_to_nms_radius,5,5,True
459.tiff,1.0,topk_invariant_to_nms_radius,10,10,True
460.tiff,1.0,topk_invariant_to_nms_radius,11,11,True
529.tiff,1.0,topk_invariant_to_nms_radius,4,4,True
548.tiff,1.0,topk_invariant_to_nms_radius,12,12,True
